date,up,down,unchanged,limit_up,limit_down,ad_ratio,breadth_pct
2025-02-12,433,484,109,15,0,0.4721919302071974,42.20272904483431
2025-02-13,797,166,67,25,0,0.8276220145379024,77.37864077669903
2025-02-14,520,411,97,8,0,0.5585392051557465,50.58365758754864
2025-02-17,632,302,93,9,0,0.6766595289079229,61.53846153846154
2025-02-18,470,438,117,11,1,0.5176211453744494,45.85365853658537
2025-02-20,434,494,102,13,1,0.4676724137931034,42.13592233009709
2025-02-21,671,266,91,10,0,0.7161152614727855,65.27237354085604
2025-02-24,439,496,95,5,1,0.4695187165775401,42.62135922330097
2025-02-25,258,674,96,2,0,0.2768240343347639,25.09727626459144
2025-02-26,426,489,112,7,1,0.4655737704918032,41.48003894839338
2025-02-27,288,666,72,2,2,0.3018867924528302,28.07017543859649
2025-03-03,249,711,66,5,4,0.259375,24.269005847953213
2025-03-04,548,397,81,7,1,0.5798941798941799,53.41130604288499
2025-03-05,645,292,91,5,0,0.688367129135539,62.7431906614786
2025-03-06,303,618,105,6,0,0.3289902280130293,29.53216374269006
2025-03-07,219,716,92,5,1,0.2342245989304812,21.324245374878288
2025-03-10,380,554,93,9,1,0.4068522483940043,37.00097370983447
2025-03-11,195,776,56,4,3,0.2008238928939238,18.9873417721519
2025-03-12,540,395,96,7,1,0.5775401069518716,52.37633365664403
2025-03-13,196,780,52,1,1,0.2008196721311475,19.06614785992218
2025-03-14,693,261,81,5,2,0.7264150943396226,66.95652173913044
2025-03-17,526,405,103,6,3,0.564983888292159,50.870406189555126
2025-03-18,623,293,114,6,3,0.6801310043668122,60.48543689320388
2025-03-20,792,160,76,9,1,0.8319327731092437,77.04280155642024
2025-03-21,313,650,72,4,3,0.3250259605399792,30.24154589371981
2025-03-24,289,670,77,9,2,0.3013555787278415,27.895752895752896
2025-03-25,294,635,106,6,2,0.3164693218514531,28.405797101449277
2025-03-26,615,305,113,10,1,0.6684782608695652,59.53533397870281
2025-03-27,195,744,76,5,0,0.2076677316293929,19.21182266009852
2025-03-28,66,953,14,3,2,0.0647693817468106,6.389157792836399
2025-03-31,30,1001,5,0,40,0.02909796314258,2.8957528957528957
2025-04-01,899,97,33,13,1,0.9026104417670684,87.36637512147716
